world,generation,population,genetic_diversity,avg_energy
baseline,187,200,0.017914,0.0
baseline,188,200,0.017801,0.0
baseline,189,200,0.01753,0.0
baseline,190,200,0.017759,0.0
baseline,191,200,0.017256,0.0
baseline,192,200,0.018204,0.0
baseline,193,200,0.018351,0.0
baseline,194,200,0.018185,0.0
baseline,195,200,0.017571,0.0
baseline,196,200,0.018296,0.0
baseline,197,200,0.018005,0.0
baseline,198,200,0.017403,0.0
baseline,199,200,0.01793,0.0
baseline,200,200,0.018168,0.0
