world,generation,population,genetic_diversity,avg_energy
baseline,0,10,0.299442,56.0
baseline,1,10,0.281884,42.1
baseline,2,10,0.188335,48.6
baseline,3,10,0.26606,53.9
baseline,4,10,0.290771,67.0
baseline,5,10,0.17806,65.0
